index,Original,Đạt,Tấn,Phát,Kỳ
10,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,Mọi thứ đều tốt trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng
11,"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời","Khá ổn trong tầm giá, camera đẹp, sạc nhanh, màn hình đẹp, âm thanh hay rất phù hợp với người thích chơi game, tuy nhiên màn hình hơi tối so với ngoài trời","Khá ổn trong tầm giá, camera đẹp, sạc nhanh, màn hình đẹp, âm thanh hay, rất phù hợp với người thích chơi game, tuy nhiên màn hình hơi tối so với ngoài trời","Khá ổn trong tầm giá, camera đẹp, sạc nhanh, màn hình đẹp, âm thanh hay, rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời","Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời"
12,"Đi thoại mượt chơi game ngon 
Âm báo thức bật maxloa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình","Điện thoại mượt, chơi game ngon 
Âm báo thức bật max loa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình","Điện thoại mượt, chơi game tốt
 Âm báo thức bật tối đa âm lượng luôn mà nghe vẫn nhỏ
 Nhân viên phục vụ nhiệt tình","Điện thoại mượt, chơi game ngon 
Âm báo thức bật tối đa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình","Đi thoại mượt chơi game ngon 
Âm báo thức bật max loa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình"
13,"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo","Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có điều là cảm biến vân tay quang học trong màn hình hơi chậm, không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nhân viên phục vụ nhiệt tình và chu đáo","Máy rất tốt trong tầm giá. Pin dùng được lâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nhân viên phục vụ nhiệt tình và chu đáo","Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có điều là cảm biến vân tay quang học trong màn hình hơi chậm, không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nhân viên phục vụ nhiệt tình và chu đáo","Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, không có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nhân viên phục vụ nhiệt tình và chu đáo"
14,"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận","Mình mua đuợc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sóng wifi quá yếu, hối hận","Mình mua được 1 tuần, máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sóng Wi-Fi quá yếu. Hối hận","Mình mua được 1 tuần, máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sóng wifi quá yếu, hối hận","Mình mua được 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận"
15,"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi","Sản phẩm quá tuyệt vời, iphone 7 plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng... nhưng không sao, iphone 7 plus tuyệt vời lắm rồi","Sản phẩm quá tuyệt vời, Iphone 7 Plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng,... Nhưng không sao, Iphone 7 Plus tuyệt vời lắm rồi","Sản phẩm quá tuyệt vời, iPhone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng... nhưng không sao, iPhone 7 plus tuyệt vời lắm rồi","Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị tụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi"
16,Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,"Dùng ok. Mượt, không nóng (điện thoại có 5 6 triệu mà mở max cấu hình rồi kêu nóng). Nhân viên nhiệt tình.","Dùng tốt. Mượt, không nóng (điện thoại có 5-6 triệu mà mở tối đa cấu hình rồi kêu nóng). Nhân viên nhiệt tình.",Dùng ok. Mượt không nóng..(điện thoại có 5-6 triệu mà mở tối đa cấu hình rồi kêu nóng). Nhân viên nhiệt tình.,Dùng ok.. Mượt không nóng..(điện thoại có 5 6 triệu mà mở max cấu hình rồi kêu nóng) Nhân viên nhiệt tình..
17,"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.","Mới mua được 1 ngày. Chồng dùng J6+, còn mình dùng con này. Wifi chồng mình lúc nào cũng 3 vạch, mà điện thoại này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. Không hiểu vì sao nữa. Dùng thấy bực mình.","Mới mua được 1 ngày. Chồng dùng J6+, còn mình dùng con này. Wi-Fi điện thoại chồng mình lúc nào cũng 3 vạch, mà điện thoại này thì lúc 2 vạch, lúc 1 vạch, lúc đứng luôn. Không hiểu vì sao nữa. Dùng thấy bực mình.","Mới mua được 1 ngày. Chồng dùng J6+, còn mình dùng con này. Wifi chồng mình lúc nào cũng 3 vạch, mà điện thoại này thì lúc 2 vạch, lúc 1 vạch, lúc đứng luôn. Không hiểu vì sao nữa. Dùng thấy bực mình.","Mới mua được 1 ngày. Chồng dùng j6+, còn mình dùng con này. Wifi chồng mình lúc nào cũng 3 vạch, mà điện thoại này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. Không hiểu vì sao nữa. Dùng thấy bực mình."
18,Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,"Dùng thì cứ đơ máy, bấm mãi mới khởi động lại xong nóng ran lên, chán ko buồn nói, kêu bảo hành phần mềm trọn đời mà dùng chưa được đã hỏng","Dùng thì cứ đơ máy, bấm mãi mới khởi động lại song nóng ran lên, chán không buồn nói, kêu bảo hành phần mềm trọn đời mà dùng chưa được đã hỏng","Dùng thì cứ đơ máy, bấm mãi mới khởi động lại, xong nóng ran lên chán không buồn nói kêu bảo hành phần mềm trọn đời mà dùng chưa được đã hỏng",Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa được đã hỏng
19,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng","Lỗi phần mềm, sạc pin ko vào, đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi, mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng","Lỗi phần mềm, sạc pin không vào, đem ra bảo trì thì cài lại máy mà vẫn không hết lỗi. Mua máy 4tr100k, RAM 3GB về để chơi PUBG mà lag vô cùng","Lỗi phầm mềm, sạc pin không vào, đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi, mua quả máy 4 triệu 100, RAM 3GB về để chơi PUBG lag vc","Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng"
