index,Original,Đạt,Tấn,Phát,Kỳ
1957,"Mình dùng hơn 1 tháng, bị rơi từ 1m úp xuống đất nhưng không sao, game mượt, hàng rất tốt so với giá, yên tâm vì bảo hành 18th, khuyên các bạn mua","Mình dùng hơn 1 tháng, bị rơi từ 1m úp xuống đất nhưng không sao, game mượt, hàng rất tốt so với giá, yên tâm vì bảo hành 18 tháng, khuyên các bạn mua","Mình dùng hơn 1 tháng, bị rơi từ 1m úp xuống đất nhưng không sao, game mượt, hàng rất tốt so với giá, yên tâm vì bảo hành 18 tháng, khuyên các bạn mua.","Mình dùng hơn 1 tháng, bị rơi từ 1 mét úp xuống đất nhưng không sao, game mượt, hàng rất tốt so với giá, yên tâm vì bảo hành 18 tháng, khuyên các bạn mua","Mình dùng hơn 1 tháng, bị rơi từ 1m úp xuống đất nhưng không sao, game mượt, hàng rất tốt so với giá, yên tâm vì bảo hành 18 tháng, khuyên các bạn mua"
1958,Màn hình sọc . đổi 2 cái mà vẫn vậy. Cảm ứng rất tệ.  Màn hình nên khắc phục . mỏi lần nóng máy hoặc bâth 4G là sọc đọc không được tn luôn. Nhấn vào màn hình là sọc. Cứ lên bảo hành nói là lỗi phân mềm cáp nhật về cũng vậy. Quá tệ,"Màn hình sọc. đổi 2 cái mà vẫn vậy. Cảm ứng rất tệ. Màn hình nên khắc phục. Mỗi lần nóng máy hoặc bật 4G là sọc dọc không đọc được tin nhắn luôn. Nhấn vào màn hình là sọc. Cứ lên bảo hành nói là lỗi phân mềm cập nhật, về cũng vậy. Quá tệ","Màn hình sọc, đổi 2 cái mà vẫn vậy. Cảm ứng rất tệ. Màn hình nên khắc phục. Mỗi lần nóng máy hoặc bật 4G là sọc, đọc không được tin nhắn luôn. Nhấn vào màn hình là sọc. Cứ lên bảo hành nói là lỗi phân mềm, cập nhật về cũng vậy. Quá tệ",Màn hình sọc. Đổi 2 cái mà vẫn vậy. Cảm ứng rất tệ. Màn hình nên khắc phục. Mỗi lần nóng máy hoặc bật 4G là sọc đọc không được tin nhắn luôn. Nhấn vào màn hình là sọc. Cứ lên bảo hành nói là lỗi phân mềm cập nhật về cũng vậy. Quá tệ,Màn hình sọc . đổi 2 cái mà vẫn vậy. Cảm ứng rất tệ.  Màn hình nên khắc phục . mỏi lần nóng máy hoặc bâth 4G là sọc đọc không được tin nhắn luôn. Nhấn vào màn hình là sọc. Cứ lên bảo hành nói là lỗi phân mềm cáp nhật về cũng vậy. Quá tệ
1959,Lúc đầu mua về chơi game còn đc đc . càng ngày càng dở . hở máy nóng 1 tí là chơi lag k thê tả nổi . qua dở,Lúc đầu mua về chơi game còn được được. Càng ngày càng dở. Hở máy nóng 1 tí là chơi lag không thể tả nổi. quá dở,Lúc đầu mua về chơi game còn được được. Càng ngày càng dở. Cứ máy nóng 1 tí là chơi lag không thể tả nổi. Quá dở,Lúc đầu mua về chơi game còn được được. Càng ngày càng dở. Hở máy nóng 1 tí là chơi lag không thể tả nổi. Quá dở,Lúc đầu mua về chơi game còn được được . càng ngày càng dở . hở máy nóng 1 tí là chơi lag không thê tả nổi . quá dở
1960,"Vì mình ít khi có nhu cầu gọi và nghe nên hôm nay vô tình xem đc 1 bài đăng bảo là 9 pro có lỗi là khi gọi ko nghe đc gì, phải bật loa lên thì mới nghe đc, thế nên mình cũng test thử thì đúng là có lỗi y chang vậy trên máy của mình. Làm sao khắc phục ạ hay phải đem xuống thế giới di động ạ.","Vì mình ít khi có nhu cầu gọi và nghe nên hôm nay vô tình xem được 1 bài đăng bảo là 9 pro có lỗi là khi gọi không nghe đc gì, phải bật loa lên thì mới nghe đc, thế nên mình cũng test thử thì đúng là có lỗi y chang vậy trên máy của mình. Làm sao khắc phục ạ hay phải đem xuống thế giới di động ạ.","Vì mình ít khi có nhu cầu gọi và nghe nên hôm nay vô tình xem được 1 bài đăng bảo là 9 Pro có lỗi là khi gọi không nghe được gì, phải bật loa lên thì mới nghe được, thế nên mình cũng test thử thì đúng là có lỗi y chang vậy trên máy của mình. Làm sao khắc phục ạ? Hay phải đem xuống Thế giới di động ạ?","Vì mình ít khi có nhu cầu gọi và nghe nên hôm nay vô tình xem được 1 bài đăng bảo là 9 Pro có lỗi là khi gọi ko nghe được gì, phải bật loa lên thì mới nghe được, thế nên mình cũng kiểm tra thử thì đúng là có lỗi y chang vậy trên máy của mình. Làm sao khắc phục ạ hay phải đem xuống thế giới di động ạ.","Vì mình ít khi có nhu cầu gọi và nghe nên hôm nay vô tình xem đc 1 bài đăng bảo là 9 pro có lỗi là khi gọi không nghe đc gì, phải bật loa lên thì mới nghe đc, thế nên mình cũng test thử thì đúng là có lỗi y chang vậy trên máy của mình. Làm sao khắc phục ạ hay phải đem xuống thế giới di động ạ."
1961,Máy mới mua đúng 1 ngày hư luôn cảm ứng.  Chưa thấy cái máy nào tệ như máy này. Xài ngày đầu tiên thì máy lag.  Cảm bién vân tay thì tệ,Máy mới mua đúng 1 ngày hư luôn cảm ứng.  Chưa thấy cái máy nào tệ như máy này. Xài ngày đầu tiên thì máy lag.  Cảm biến vân tay thì tệ,Máy mới mua đúng 1 ngày hư luôn cảm ứng. Chưa thấy cái máy nào tệ như máy này. Xài ngày đầu tiên thì máy lag. Cảm bién vân tay thì tệ,Máy mới mua đúng 1 ngày hư luôn cảm ứng. Chưa thấy cái máy nào tệ như máy này. Xài ngày đầu tiên thì máy lag. Cảm bién vân tay thì tệ,Máy mới mua đúng 1 ngày hư luôn cảm ứng.  Chưa thấy cái máy nào tệ như máy này. Xài ngày đầu tiên thì máy lag.  Cảm bién vân tay thì tệ
1962,"Điện thoại đẹp nhưng cam chụp hơi xấu luôn ủng hộ hàng việt nam ,còn dùng lâu dài thì chưa bt,nhân viên tgdd bình long bình phước tư vân nhiệt tình","Điện thoại đẹp nhưng camera chụp hơi xấu, luôn ủng hộ hàng việt nam, còn dùng lâu dài thì chưa biết, nhân viên thegioididong bình long, bình phước tư vấn nhiệt tình","Điện thoại đẹp nhưng Camera chụp hơi xấu. Luôn ủng hộ hàng Việt Nam, còn dùng lâu dài thì chưa biết. Nhân viên Thế giới di động Bình Long, Bình Phước tư vấn nhiệt tình","Điện thoại đẹp nhưng camera chụp hơi xấu luôn ủng hộ hàng Việt Nam, còn dùng lâu dài thì chưa biết,nhân viên Thế giới di động Bình Long Bình Phước tư vân nhiệt tình","Điện thoại đẹp nhưng cam chụp hơi xấu luôn ủng hộ hàng việt nam ,còn dùng lâu dài thì chưa biết,nhân viên Thế Giới Di Động bình long bình phước tư vân nhiệt tình"
1963,Thế giới di động ở ngã tư QL51+Lộc An thì tư vấn rất nhiệt tình và mến khách...... Cho 5 sao cách phục vụ khách hàng...,Thế giới di động ở ngã tư QL51 + Lộc An thì tư vấn rất nhiệt tình và mến khách. Cho 5 sao cách phục vụ khách hàng.,"Thế giới di động ở ngã tư Quốc lộ 51, Lộc An thì tư vấn rất nhiệt tình và mến khách...... Cho 5 sao cách phục vụ khách hàng...",Thế giới di động ở ngã tư QL51+ Lộc An thì tư vấn rất nhiệt tình và mến khách... Cho 5 sao cách phục vụ khách hàng...,Thế giới di động ở ngã tư QL51 Lộc An thì tư vấn rất nhiệt tình và mến khách...... Cho 5 sao cách phục vụ khách hàng...
1964,"Thiết kế A11đẹp sang trọng ,pin khỏe sạc nhanh dung lâu ko lo hết pin chụp ảnh sáng rõ màn hình rộng thao tác dễ dàng","Thiết kế A11 đẹp sang trọng, pin khỏe sạc nhanh, dùng lâu ko lo hết pin, chụp ảnh sáng rõ, màn hình rộng, thao tác dễ dàng","Thiết kế A11 đẹp, sang trọng, pin khỏe sạc nhanh dùng lâu không lo hết pin, chụp ảnh sáng rõ, màn hình rộng thao tác dễ dàng","Thiết kế A11 đẹp, sang trọng; pin khỏe, sạc nhanh; dùng lâu không lo hết pin; chụp ảnh sáng, rõ; màn hình rộng, thao tác dễ dàng","Thiết kế A11 đẹp sang trọng ,pin khỏe sạc nhanh dung lâu không lo hết pin chụp ảnh sáng rõ màn hình rộng thao tác dễ dàng"
1965,Máy xài tuyệt vời  ko chê game liên  quân thì test thử xog xóa máy chủ yếu xài lướt web lm vc rất là mượt mặc dù chỉ là con chíp mediatek g90t nhưng đem trải nghiệm tốt mà hình như máy cứ sạc tới 100% xài 5 phút tụt xuống 96% cho hỏi máy nên sạc như thế nào là đúng cách để ko bị chai pin vs lại mình có  voucher mua đồng hồ bảo hành dc 1 năm nếu mai mốt hết pin có thể mag ra thế giới di động thay dc ko,"Máy xài tuyệt vời ko chê, game liên quân thì test thử xong xóa, máy chủ yếu xài lướt web làm việc rất là mượt mặc dù chỉ là con chíp mediatek g90t nhưng đem trải nghiệm tốt, mà hình như máy cứ sạc tới 100% xài 5 phút tụt xuống 96% cho hỏi máy nên sạc như thế nào là đúng cách để không bị chai pin, với lại mình có  voucher mua đồng hồ bảo hành được 1 năm, nếu mai mốt hết pin có thể mang ra thế giới di động thay được ko?","Máy xài tuyệt vời không chê. Game Liên Quân thì test thử xong xóa. Máy chủ yếu xài lướt Web, làm việc rất là mượt. Mặc dù chỉ là con chip MediaTek G90T nhưng đem trải nghiệm tốt. Mà hình như máy cứ sạc tới 100% xài 5 phút tụt xuống 96%. Cho hỏi máy nên sạc như thế nào là đúng cách để không bị chai pin. Với lại mình có Voucher mua đồng hồ bảo hành được 1 năm, nếu mai mốt hết pin có thể mang ra Thế giới di động thay được không","Máy xài tuyệt vời, không chê, game Liên Quân thì kiểm tra thử xong xóa máy, chủ yếu xài lướt web, làm việc rất là mượt mặc dù chỉ là con chíp MediaTek G90T nhưng đem trải nghiệm tốt, mà hình như máy cứ sạc tới 100% xài 5 phút tụt xuống 96% cho hỏi máy nên sạc như thế nào là đúng, cách để ko bị chai pin với lại mình có phiếu khuyến mãi mua đồng hồ bảo hành được 1 năm nếu mai mốt hết pin có thể mang ra Thế giới di động thay được không",Máy xài tuyệt vời  không chê game liên  quân thì test thử xong xóa máy chủ yếu xài lướt web làm việc rất là mượt mặc dù chỉ là con chíp mediatek g90t nhưng đem trải nghiệm tốt mà hình như máy cứ sạc tới 100% xài 5 phút tụt xuống 96% cho hỏi máy nên sạc như thế nào là đúng cách để không bị chai pin với lại mình có  voucher mua đồng hồ bảo hành được 1 năm nếu mai mốt hết pin có thể mag ra thế giới di động thay được không
1966,tốc độ lưu ảnh chậm ko khác j con ip6 có lúc còn bị đơ!ra hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂!nghe muốn đập dt đi về dùng ip6 cho rồi! có ai bị như mình ko?,"tốc độ lưu ảnh chậm không khác gì con iphone 6, có lúc còn bị đơ! ra hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂! nghe muốn đập điện thoại đi về dùng iphone 6 cho rồi! có ai bị như mình ko?","Tốc độ lưu ảnh chậm không khác gì con Iphone 6, có lúc còn bị đơ ra. Hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂! Nghe muốn đập điện thoại đi về dùng Iphone 6 cho rồi! Có ai bị như mình không?",Tốc độ lưu ảnh chậm không khác gì con iPhone 6 có lúc còn bị đơ! Ra hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂! Nghe muốn đập điện thoại đi về dùng iPhone 6 cho rồi! Có ai bị như mình ko?,tốc độ lưu ảnh chậm không khác gì con IPhone 6 có lúc còn bị đơ!ra hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂!nghe muốn đập điện thoại đi về dùng IPhone 6 cho rồi! có ai bị như mình không?
